Score,Age,Subject,Sex,ID
82.0,18,Data Structue,M,1
39.0,19,Data Structue,M,3
76.0,18,Data Structue,M,4
76.0,18,Data Structue,F,5
89.0,20,Data Structue,M,6
89.0,18,Data Structue,M,7
59.0,19,Data Structue,M,8
85.0,18,Data Structue,F,300
82.0,18,Data Structue,M,9
47.0,20,Data Structue,M,11
47.0,20,Data Structue,M,12
60.0,19,Data Structue,M,13
82.0,18,Data Structue,M,14
82.0,21,Data Structue,F,15
76.0,20,Data Structue,M,16
82.0,19,Data Structue,F,10
25.0,18,Data Structue,M,17
85.0,18,Data Structue,M,19
59.0,19,Data Structue,M,36
60.0,18,Data Structue,M,22
69.0,18,Data Structue,M,23
59.0,19,Data Structue,M,24
85.0,20,Data Structue,F,25
85.0,18,Data Structue,M,26
47.0,20,Data Structue,M,27
85.0,20,Data Structue,M,28
82.0,21,Data Structue,M,29
79.0,19,Data Structue,F,30
69.0,20,Data Structue,M,31
60.0,21,Data Structue,M,32
39.0,19,Data Structue,M,33
0.0,18,Data Structue,M,34
47.0,20,Data Structue,F,35
60.0,18,Data Structue,F,20
89.0,18,Data Structue,M,18
39.0,18,Data Structue,M,149
47.0,18,Data Structue,M,37
39.0,18,Data Structue,M,39
60.0,19,Data Structue,F,40
69.0,20,Data Structue,M,41
89.0,20,Data Structue,M,42
59.0,21,Data Structue,M,43
79.0,18,Data Structue,M,44
76.0,20,Data Structue,F,45
59.0,21,Data Structue,M,46
79.0,21,Data Structue,M,47
76.0,18,Data Structue,M,48
59.0,18,Data Structue,M,49
60.0,19,Data Structue,F,50
76.0,18,Data Structue,M,51
82.0,19,Data Structue,M,52
39.0,19,Data Structue,M,53
89.0,20,Data Structue,M,54
82.0,21,Data Structue,F,55
76.0,18,Data Structue,M,21
47.0,20,Data Structue,M,57
69.0,20,Data Structue,M,58
69.0,20,Data Structue,M,59
89.0,18,Data Structue,F,60
82.0,19,Data Structue,M,61
47.0,18,Data Structue,M,62
76.0,20,Data Structue,M,63
76.0,18,Data Structue,M,64
79.0,21,Data Structue,F,65
39.0,21,Data Structue,M,66
69.0,20,Data Structue,M,67
60.0,21,Data Structue,M,68
39.0,19,Data Structue,M,69
69.0,20,Data Structue,F,70
47.0,20,Data Structue,M,71
59.0,21,Data Structue,M,72
47.0,20,Data Structue,M,73
69.0,20,Data Structue,M,38
59.0,21,Data Structue,F,150
79.0,19,Data Structue,M,74
89.0,20,Data Structue,M,76
79.0,19,Data Structue,F,80
