Experience in Years,Salary,Predicted Salary, Predicted Salary vs Actual Salary
1.1,39343,36873,2470
1.3,46205,38756,7449
1.5,37731,40640,-2909
2.0,43525,45350,-1825
2.2,39891,47234,-7343
2.9,56642,53827,2815
3.0,60150,54769,5381
3.2,54445,56653,-2208
3.2,64445,56653,7792
3.7,57189,61363,-4174
3.9,63218,63247,-29
4.0,55794,64189,-8395
4.0,56957,64189,-7232
4.1,57081,65131,-8050
4.5,61111,68898,-7787
4.9,67938,72666,-4728
5.1,66029,74550,-8521
5.3,83088,76434,6654
5.9,81363,82085,-722
6.0,93940,83027,10913
6.8,91738,90563,1175
7.1,98273,93389,4884
7.9,101302,100924,378
8.2,113812,103750,10062
8.7,109431,108460,971
9.0,105582,111285,-5703
9.5,116969,115995,974
9.6,112635,116937,-4302
10.3,122391,123531,-1140
10.5,121872,125414,-3542
Accuracy,,,95.65197266040252%
